feature,gene,importance,abs_importance,importance_type,antibiotic,model,model_label
amr__translation_elongation_factor_tu,translation_elongation_factor_tu,-0.083117,0.083117,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__aminoglycoside_o-phosphotransferase_aph3-iia,aminoglycoside_o-phosphotransferase_aph3-iia,-0.081941,0.081941,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__mphb_family,mphb_family,0.081904,0.081904,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__ctx-m-55,ctx-m-55,0.081652,0.081652,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__qac,qac,0.081159,0.081159,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__udp-glucose_6-dehydrogenase_ec_1.1.1.22,udp-glucose_6-dehydrogenase_ec_1.1.1.22,-0.08099,0.08099,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_aminoglycoside_n-acetyltransferase_aac3-iia,multispecies_aminoglycoside_n-acetyltransferase_aac3-iia,0.080963,0.080963,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada5,multispecies_ant3-ia_family_aminoglycoside_nucleotidyltransferase_aada5,0.08004,0.08004,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,0.080004,0.080004,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__multidrug_efflux_system_emrky-tolc_inner-membrane_protondrug_antiporter_emry_mfs_type,multidrug_efflux_system_emrky-tolc_inner-membrane_protondrug_antiporter_emry_mfs_type,-0.079943,0.079943,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__dfra17,dfra17,0.079454,0.079454,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,0.079365,0.079365,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__escherichia_coli_mdfa,escherichia_coli_mdfa,0.079284,0.079284,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__vang,vang,0.079164,0.079164,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__ec-19,ec-19,0.077961,0.077961,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__multidrug_efflux_system_acrab-tolc_inner-membrane_protondrug_antiporter_acrb_rnd_type,multidrug_efflux_system_acrab-tolc_inner-membrane_protondrug_antiporter_acrb_rnd_type,0.077775,0.077775,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__aac3-iid,aac3-iid,0.077403,0.077403,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__cmy-42,cmy-42,0.076766,0.076766,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__aac3-iic,aac3-iic,0.076029,0.076029,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__dna-binding_protein_h-ns,dna-binding_protein_h-ns,-0.07528,0.07528,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
amr__dhfrv,dhfrv,-0.075045,0.075045,coeficiente_logistico_absoluto,ciprofloxacin,logistic_regression_balanced,Regresión logística balanceada
