feature,gene,importance,abs_importance,importance_type,fold,rank,antibiotic,model
amr__aada5,aada5,0.188,0.188,absolute_logistic_coefficient,1,19,ciprofloxacin,logistic_regression_balanced
amr__type_b-3_chloramphenicol_o-acetyltransferase_catb3,type_b-3_chloramphenicol_o-acetyltransferase_catb3,0.1797,0.1797,absolute_logistic_coefficient,1,20,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,0.737,0.737,absolute_logistic_coefficient,2,1,ciprofloxacin,logistic_regression_balanced
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.717,0.717,absolute_logistic_coefficient,2,2,ciprofloxacin,logistic_regression_balanced
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.6212,0.6212,absolute_logistic_coefficient,2,3,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,0.4565,0.4565,absolute_logistic_coefficient,2,4,ciprofloxacin,logistic_regression_balanced
amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,0.3076,0.3076,absolute_logistic_coefficient,2,5,ciprofloxacin,logistic_regression_balanced
amr__blaec,blaec,0.2936,0.2936,absolute_logistic_coefficient,2,6,ciprofloxacin,logistic_regression_balanced
amr__aminoglycoside_n3-acetyltransferase_ec_2.3.1.81_aac3-iiiiiivviviiiixx,aminoglycoside_n3-acetyltransferase_ec_2.3.1.81_aac3-iiiiiivviviiiixx,0.22,0.22,absolute_logistic_coefficient,2,7,ciprofloxacin,logistic_regression_balanced
amr__catb3,catb3,0.2123,0.2123,absolute_logistic_coefficient,2,8,ciprofloxacin,logistic_regression_balanced
amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,0.2097,0.2097,absolute_logistic_coefficient,2,9,ciprofloxacin,logistic_regression_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.209,0.209,absolute_logistic_coefficient,2,10,ciprofloxacin,logistic_regression_balanced
amr__mpha,mpha,0.2006,0.2006,absolute_logistic_coefficient,2,11,ciprofloxacin,logistic_regression_balanced
amr__mefb,mefb,0.197,0.197,absolute_logistic_coefficient,2,12,ciprofloxacin,logistic_regression_balanced
amr__vgac,vgac,0.1957,0.1957,absolute_logistic_coefficient,2,13,ciprofloxacin,logistic_regression_balanced
amr__ctx-m-15,ctx-m-15,0.1928,0.1928,absolute_logistic_coefficient,2,14,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_acra,escherichia_coli_acra,-0.189,0.189,absolute_logistic_coefficient,2,15,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_acrab-tolc_with_marr_mutations_conferring_resistance_to_ciprofloxacin_and_tetracycline,escherichia_coli_acrab-tolc_with_marr_mutations_conferring_resistance_to_ciprofloxacin_and_tetracycline,-0.1859,0.1859,absolute_logistic_coefficient,2,16,ciprofloxacin,logistic_regression_balanced
amr__catb_family,catb_family,0.1809,0.1809,absolute_logistic_coefficient,2,17,ciprofloxacin,logistic_regression_balanced
amr__aac3-iiiiiivviviiiixx,aac3-iiiiiivviviiiixx,0.1743,0.1743,absolute_logistic_coefficient,2,18,ciprofloxacin,logistic_regression_balanced
amr__mrx,mrx,0.173,0.173,absolute_logistic_coefficient,2,19,ciprofloxacin,logistic_regression_balanced
amr__tem-141,tem-141,0.1655,0.1655,absolute_logistic_coefficient,2,20,ciprofloxacin,logistic_regression_balanced
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.8415,0.8415,absolute_logistic_coefficient,3,1,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,0.7921,0.7921,absolute_logistic_coefficient,3,2,ciprofloxacin,logistic_regression_balanced
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.7538,0.7538,absolute_logistic_coefficient,3,3,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,0.4789,0.4789,absolute_logistic_coefficient,3,4,ciprofloxacin,logistic_regression_balanced
amr__catb3,catb3,0.3555,0.3555,absolute_logistic_coefficient,3,5,ciprofloxacin,logistic_regression_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.3441,0.3441,absolute_logistic_coefficient,3,6,ciprofloxacin,logistic_regression_balanced
amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,0.3351,0.3351,absolute_logistic_coefficient,3,7,ciprofloxacin,logistic_regression_balanced
amr__ctx-m_family,ctx-m_family,0.3105,0.3105,absolute_logistic_coefficient,3,8,ciprofloxacin,logistic_regression_balanced
amr__aminoglycoside_n-acetyltransferase_aac3-iie,aminoglycoside_n-acetyltransferase_aac3-iie,0.2639,0.2639,absolute_logistic_coefficient,3,9,ciprofloxacin,logistic_regression_balanced
amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,0.2525,0.2525,absolute_logistic_coefficient,3,10,ciprofloxacin,logistic_regression_balanced
amr__escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,0.233,0.233,absolute_logistic_coefficient,3,11,ciprofloxacin,logistic_regression_balanced
amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra14,multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra14,0.2211,0.2211,absolute_logistic_coefficient,3,12,ciprofloxacin,logistic_regression_balanced
amr__multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,0.2205,0.2205,absolute_logistic_coefficient,3,13,ciprofloxacin,logistic_regression_balanced
amr__ctx-m-15,ctx-m-15,0.216,0.216,absolute_logistic_coefficient,3,14,ciprofloxacin,logistic_regression_balanced
amr__mpha,mpha,0.2095,0.2095,absolute_logistic_coefficient,3,15,ciprofloxacin,logistic_regression_balanced
amr__type_b-3_chloramphenicol_o-acetyltransferase_catb3,type_b-3_chloramphenicol_o-acetyltransferase_catb3,0.2078,0.2078,absolute_logistic_coefficient,3,16,ciprofloxacin,logistic_regression_balanced
amr__mdti,mdti,0.1935,0.1935,absolute_logistic_coefficient,3,17,ciprofloxacin,logistic_regression_balanced
amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,0.1934,0.1934,absolute_logistic_coefficient,3,18,ciprofloxacin,logistic_regression_balanced
amr__vgac,vgac,0.1892,0.1892,absolute_logistic_coefficient,3,19,ciprofloxacin,logistic_regression_balanced
amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,0.1859,0.1859,absolute_logistic_coefficient,3,20,ciprofloxacin,logistic_regression_balanced
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.0726,0.0726,random_forest_gini_importance,1,1,ciprofloxacin,random_forest_balanced
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.0466,0.0466,random_forest_gini_importance,1,2,ciprofloxacin,random_forest_balanced
amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,0.0341,0.0341,random_forest_gini_importance,1,3,ciprofloxacin,random_forest_balanced
amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,0.03,0.03,random_forest_gini_importance,1,4,ciprofloxacin,random_forest_balanced
amr__mpha,mpha,0.0242,0.0242,random_forest_gini_importance,1,5,ciprofloxacin,random_forest_balanced
