antibiotic,model,feature,gene,selection_frequency,mean_rank,mean_abs_importance,mean_signed_importance
cefotaxime,logistic_regression_balanced,amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,3,8.6667,0.378,0.378
cefotaxime,logistic_regression_balanced,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,3,9.0,0.3654,0.3654
cefotaxime,logistic_regression_balanced,amr__cmycmy-2cfelat_family,cmycmy-2cfelat_family,3,10.6667,0.3561,0.3561
cefotaxime,logistic_regression_balanced,amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,3,13.0,0.2719,0.2719
cefotaxime,logistic_regression_balanced,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,extended-spectrum_class_a_beta-lactamase_ctx-m-14,3,14.6667,0.2416,0.2416
cefotaxime,logistic_regression_balanced,amr__qnrs1,qnrs1,2,13.5,0.2674,0.2674
cefotaxime,logistic_regression_balanced,amr__ctx-m-55,ctx-m-55,2,15.5,0.2348,0.2348
cefotaxime,logistic_regression_balanced,amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,2,17.5,0.2107,0.2107
cefotaxime,logistic_regression_balanced,amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,2,19.5,0.199,0.199
cefotaxime,logistic_regression_balanced,amr__multidrug_resistance_protein_mdth,multidrug_resistance_protein_mdth,1,12.0,0.2994,-0.2994
cefotaxime,logistic_regression_balanced,amr__multidrug_resistance_protein_mdtg,multidrug_resistance_protein_mdtg,1,12.0,0.2872,-0.2872
cefotaxime,logistic_regression_balanced,amr__multidrug_efflux_system_mdtef-tolc_inner-membrane_protondrug_antiporter_mdtf_rnd_type,multidrug_efflux_system_mdtef-tolc_inner-membrane_protondrug_antiporter_mdtf_rnd_type,1,15.0,0.2539,-0.2539
