feature,gene,importance,abs_importance,importance_type,antibiotic,model,model_label
amr__escherichia_coli_cyaa_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_cyaa_with_mutation_conferring_resistance_to_fosfomycin,0.000392,0.000392,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__lipid_a_phosphoethanolamine_transferase_eptapmrc_ec_2.7.8.43,lipid_a_phosphoethanolamine_transferase_eptapmrc_ec_2.7.8.43,0.000388,0.000388,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__small_multidrug_resistance_smr_efflux_transporter_qace_delta_1_quaternary_ammonium_compounds,small_multidrug_resistance_smr_efflux_transporter_qace_delta_1_quaternary_ammonium_compounds,0.000385,0.000385,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aminoglycoside_6-phosphotransferase_ec_2.7.1.72_aph6-icaph6-id,aminoglycoside_6-phosphotransferase_ec_2.7.1.72_aph6-icaph6-id,0.000382,0.000382,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__udp-4-amino-4-deoxy-l-arabinose_formyltransferase_ec_2.1.2.13_udp-glucuronic_acid_oxidase_udp-4-keto-hexauronic_acid_dec,udp-4-amino-4-deoxy-l-arabinose_formyltransferase_ec_2.1.2.13_udp-glucuronic_acid_oxidase_udp-4-keto-hexauronic_acid_dec,0.000375,0.000375,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multidrug_efflux_system_mdtabc-tolc_inner-membrane_protondrug_antiporter_mdtc_rnd_type,multidrug_efflux_system_mdtabc-tolc_inner-membrane_protondrug_antiporter_mdtc_rnd_type,0.00037,0.00037,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multidrug_efflux_system_mdtabc-tolc_membrane_fusion_component_mdta,multidrug_efflux_system_mdtabc-tolc_membrane_fusion_component_mdta,0.000368,0.000368,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multidrug_efflux_pump_emrd_of_mfs_type,multidrug_efflux_pump_emrd_of_mfs_type,0.000367,0.000367,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__dihydrofolate_reductase_ec_1.5.1.3,dihydrofolate_reductase_ec_1.5.1.3,0.000364,0.000364,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aac3-iia,aac3-iia,0.000364,0.000364,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__folp2,folp2,0.000364,0.000364,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,0.000357,0.000357,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__escherichia_ampicillinchloramphenicolquinolonerifampintetracycline_resistant_marr,escherichia_ampicillinchloramphenicolquinolonerifampintetracycline_resistant_marr,0.000354,0.000354,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__ec-8,ec-8,0.000351,0.000351,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__multispecies_chloramphenicol_efflux_mfs_transporter_cmla1,multispecies_chloramphenicol_efflux_mfs_transporter_cmla1,0.00035,0.00035,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__aada1,aada1,0.000346,0.000346,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__probable_acrefenvcd_operon_repressor_envr,probable_acrefenvcd_operon_repressor_envr,0.000346,0.000346,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__udp-4-amino-4-deoxy-l-arabinose--oxoglutarate_aminotransferase_ec_2.6.1.87,udp-4-amino-4-deoxy-l-arabinose--oxoglutarate_aminotransferase_ec_2.6.1.87,0.000346,0.000346,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__tem-12,tem-12,0.000344,0.000344,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__trimethoprim-resistant_dihydrofolate_reductase_dfra12,trimethoprim-resistant_dihydrofolate_reductase_dfra12,0.000341,0.000341,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__tetracycline_resistance_mfs_efflux_pump_teta,tetracycline_resistance_mfs_efflux_pump_teta,0.000337,0.000337,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
amr__trimethoprim-resistant_dihydrofolate_reductase_dfra51,trimethoprim-resistant_dihydrofolate_reductase_dfra51,0.000322,0.000322,importancia_gini_bosque_aleatorio,ciprofloxacin,random_forest_balanced,Bosque aleatorio balanceado
