antibiotic,feature,n_present,prevalence_pct
ciprofloxacin,amr__chloramphenicolflorfenicol_efflux_mfs_transporter_flor,34,0.465
ciprofloxacin,amr__class_a_beta-lactamase._this_enzyme_breaks_the_beta-lactam_antibiotic_ring_open_and_deactivates_the_molecules_antibacter,3,0.041
ciprofloxacin,amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,35,0.479
ciprofloxacin,amr__class_a_beta-lactamase_ec_3.5.2.6_kpc_family_carbapenem-hydrolyzing,1,0.014
ciprofloxacin,amr__class_a_beta-lactamase_ec_3.5.2.6_shv_family,10,0.137
ciprofloxacin,amr__class_a_beta-lactamase_ec_3.5.2.6_tem_family,184,2.516
ciprofloxacin,amr__class_a_beta-lactamase_lap-2,1,0.014
ciprofloxacin,amr__class_a_beta-lactamase_tem-190,1,0.014
ciprofloxacin,amr__class_a_beta-lactamase_tem-212,0,0.0
ciprofloxacin,amr__class_a_beta-lactamase_tem-215,1,0.014
ciprofloxacin,amr__class_a_beta-lactamase_tem-70,1,0.014
ciprofloxacin,amr__class_a_extended-spectrum_beta-lactamase_tem-133,1,0.014
ciprofloxacin,amr__class_a_extended-spectrum_beta-lactamase_tem-164,0,0.0
ciprofloxacin,amr__class_a_extended-spectrum_beta-lactamase_tem-20_partial,1,0.014
ciprofloxacin,amr__class_c_beta-lactamase._this_enzyme_breaks_the_beta-lactam_antibiotic_ring_open_and_deactivates_the_molecules_antibacter,1,0.014
ciprofloxacin,amr__class_c_beta-lactamase_cmy-145,3,0.041
ciprofloxacin,amr__class_c_beta-lactamase_cmy-82,1,0.014
ciprofloxacin,amr__class_c_beta-lactamase_ec_3.5.2.6_blaec_family,226,3.09
ciprofloxacin,amr__class_c_beta-lactamase_ec_3.5.2.6_cmycmy-2cfelat_family,5,0.068
ciprofloxacin,amr__class_c_extended-spectrum_beta-lactamase_cmy-42,2,0.027
ciprofloxacin,amr__class_c_extended-spectrum_beta-lactamase_ec-13,93,1.272
ciprofloxacin,amr__class_c_extended-spectrum_beta-lactamase_ec-18,35,0.479
ciprofloxacin,amr__class_c_extended-spectrum_beta-lactamase_ec-19,12,0.164
ciprofloxacin,amr__class_d_beta-lactamase._this_enzyme_breaks_the_beta-lactam_antibiotic_ring_open_and_deactivates_the_molecules_antibacter,3,0.041
ciprofloxacin,amr__class_d_beta-lactamase_ec_3.5.2.6,1,0.014
ciprofloxacin,amr__class_d_beta-lactamase_ec_3.5.2.6_oxa-1_family,32,0.438
ciprofloxacin,amr__class_d_beta-lactamase_ec_3.5.2.6_oxa-2_family,1,0.014
ciprofloxacin,amr__cme-1,2,0.027
ciprofloxacin,amr__cmla,3,0.041
ciprofloxacin,amr__cmla1,18,0.246
ciprofloxacin,amr__cmla5,3,0.041
ciprofloxacin,amr__cmla6,6,0.082
ciprofloxacin,amr__cmla_family,27,0.369
ciprofloxacin,amr__cmr,61,0.834
ciprofloxacin,amr__cmy-13,0,0.0
ciprofloxacin,amr__cmy-132,5,0.068
ciprofloxacin,amr__cmy-136,1,0.014
ciprofloxacin,amr__cmy-145,3,0.041
ciprofloxacin,amr__cmy-15,1,0.014
ciprofloxacin,amr__cmy-163,5,0.068
ciprofloxacin,amr__cmy-2,44,0.602
ciprofloxacin,amr__cmy-20,2,0.027
ciprofloxacin,amr__cmy-26,1,0.014
ciprofloxacin,amr__cmy-2_family_class_c_beta-lactamase,3,0.041
ciprofloxacin,amr__cmy-4,1,0.014
ciprofloxacin,amr__cmy-42,8,0.109
ciprofloxacin,amr__cmy-47,1,0.014
ciprofloxacin,amr__cmy-48,1,0.014
ciprofloxacin,amr__cmy-7,1,0.014
ciprofloxacin,amr__cmy-82,1,0.014
ciprofloxacin,amr__cmycmy-2cfelat_family,36,0.492
ciprofloxacin,amr__cobialamin_adenosyltransferase_ec_2.5.1.17,1,0.014
ciprofloxacin,amr__cobo,0,0.0
ciprofloxacin,amr__copper-sensing_two-component_system_response_regulator_cpxr,226,3.09
ciprofloxacin,amr__copper_sensory_histidine_kinase_cpxa,232,3.172
ciprofloxacin,amr__cpxa,1775,24.272
ciprofloxacin,amr__cpxr,795,10.871
ciprofloxacin,amr__crp,1832,25.051
ciprofloxacin,amr__csra,42,0.574
ciprofloxacin,amr__ctx-m-1,8,0.109
ciprofloxacin,amr__ctx-m-11,1,0.014
ciprofloxacin,amr__ctx-m-14,40,0.547
ciprofloxacin,amr__ctx-m-15,182,2.489
ciprofloxacin,amr__ctx-m-19,1,0.014
ciprofloxacin,amr__ctx-m-197,1,0.014
ciprofloxacin,amr__ctx-m-198,3,0.041
